"","mydate","county_nam","positive","PctPositivty","PctPositivty7dAvg","Tests_7_Day_Avg","Positive_7_Day_Avg","New_Cases_Today","New_Tests_Dashboard","New_Cases_7_Day_Avg","New_Deaths_Today","New_Deaths_7_Day_Avg","Recovered_Since_Yesterday","active_cases","Active_Cases_7_Day_Avg"
"1",2021-04-04,"Arkansas_all_counties",331054,0.026,0.025,6333.143,330568.29,84,3286,160.71,2,6.86,97,1732,1724.57
"2",2021-04-04,"Arkansas_county",2079,0,0.02,49,2076.57,0,43,1,0,0,1,11,11.86
"3",2021-04-04,"Ashley",1907,0.074,0.045,32,1902.29,2,27,1.43,0,0,1,22,19.57
"4",2021-04-04,"Baxter",3082,0,0.042,74.571,3073.14,0,37,3.14,0,0.14,5,37,44.86
"5",2021-04-04,"Benton",28235,0.12,0.056,403.714,28168.14,12,100,22.43,1,0.57,5,212,200.14
"6",2021-04-04,"Boone",3744,0,0.017,75.286,3741.71,0,23,1.29,0,0,0,24,25.71
"7",2021-04-04,"Bradley",1356,0,0.008,18.143,1356,0,8,0.14,0,0,1,12,14.14
"8",2021-04-04,"Calhoun",409,0,0,4.286,409,0,3,0,0,0,0,0,NA
"9",2021-04-04,"Carroll",2755,0.077,0.022,52,2751.29,1,13,1.14,0,0,0,12,10.86
"10",2021-04-04,"Chicot",1610,0,0.007,20.857,1609.86,0,68,0.14,0,0.29,0,1,3
"11",2021-04-04,"Clark",2084,0.1,0.016,52.571,2080.86,1,10,0.86,0,0,0,9,7
"12",2021-04-04,"Clay",1723,0,0.005,28.429,1722.86,0,9,0.14,0,0,1,3,5
"13",2021-04-04,"Cleburne",1948,0,0.03,37.571,1945.43,0,10,1.14,0,0.29,1,13,15.43
"14",2021-04-04,"Cleveland",940,0,0.04,10.714,938.71,0,2,0.43,0,0,0,3,1.86
"15",2021-04-04,"Columbia",2321,0,0.028,35.571,2319.86,0,7,1,0,0,0,5,5.57
"16",2021-04-04,"Conway",2192,0,0.034,25.143,2189.57,0,29,0.86,0,0,1,8,7.57
"17",2021-04-04,"Craighead",13104,0.057,0.019,327.714,13087,6,106,6.14,0,0,4,62,61.86
"18",2021-04-04,"Crawford",6989,0,0.025,116.571,6981.29,0,121,2.86,0,0,2,41,45.29
"19",2021-04-04,"Crittenden",5890,0.036,0.043,117,5875,1,28,5,0,0,0,43,36.43
"20",2021-04-04,"Cross",1926,0.056,0.049,29,1921.57,1,18,1.43,0,0,0,9,6.29
"21",2021-04-04,"Dallas",756,0,0,21.857,756,0,3,0,0,0,0,1,1.29
"22",2021-04-04,"Desha",1357,0,0.01,30,1356.43,0,56,0.29,0,0,1,3,4
"23",2021-04-04,"Drew",1985,0,0.022,25.571,1984.43,0,22,0.57,0,0.29,0,5,4.86
"24",2021-04-04,"Faulkner",12235,0.042,0.04,277.857,12203.57,5,118,11.14,0,0,3,95,86.57
"25",2021-04-04,"Franklin",1680,0,0.051,33.714,1676.86,0,15,1.71,0,0,0,12,10.57
"26",2021-04-04,"Fulton",1100,0,0.017,16.714,1099.86,0,1,0.29,0,0,0,1,1
"27",2021-04-04,"Garland",10041,0.014,0.013,221.571,10033,2,147,2.86,0,0.14,1,23,22.71
"28",2021-04-04,"Grant",1637,0.167,0.031,23,1635.14,1,6,0.71,0,0,0,7,7.57
"29",2021-04-04,"Greene",6022,0,0.021,153.429,6012.57,0,36,3.29,0,0.14,1,30,26.86
"30",2021-04-04,"Hempstead",1984,0,0.047,24.286,1981,0,10,1.14,1,0.29,-1,14,14.57
"31",2021-04-04,"HotSpring",5014,0.012,0.026,142.286,5002,1,80,3.71,0,0.14,0,53,48.43
"32",2021-04-04,"Howard",1641,0,0.028,20.571,1640.29,0,5,0.57,0,0,1,1,3.14
"33",2021-04-04,"Independence",3722,-1,0.022,83.286,3718,-1,1,1.86,0,0.14,1,13,12.86
"34",2021-04-04,"Izard",1662,0,0.023,49.143,1659.43,0,7,1.14,0,0,1,5,5
"35",2021-04-04,"Jackson",3210,0,0.012,81.286,3208.43,0,-1,1,0,0,1,9,9.29
"36",2021-04-04,"Jefferson",8746,0,0.007,373.714,8740.86,0,49,2.57,0,0.14,2,27,31.29
"37",2021-04-04,"Johnson",2884,0.029,0.02,64.143,2880,1,35,1.29,0,0.14,0,14,15.29
"38",2021-04-04,"Lafayette",541,0,0,7,541,0,2,0,0,0,0,0,NA
"39",2021-04-04,"Lawrence",2069,0,0.024,24,2068.43,0,13,0.57,0,0.14,0,6,5.43
"40",2021-04-04,"Lee",1659,0.167,0.018,32.571,1657.14,1,6,0.57,0,0,1,2,3.29
"41",2021-04-04,"Lincoln",3182,0,0.009,91.286,3179.86,0,42,0.86,0,0,0,7,4.86
"42",2021-04-04,"LittleRiver",1224,0.5,0.106,9.429,1221.57,2,4,1,0,0.14,0,4,6.14
"43",2021-04-04,"Logan",2206,0,0,29.714,2206,0,10,0,0,0.14,1,3,5
"44",2021-04-04,"Lonoke",7061,0.023,0.03,109.571,7052.14,1,43,3.29,0,0.29,3,32,35.43
"45",2021-04-04,"Madison",1437,0,0.012,23.143,1436.43,0,7,0.29,0,0,1,7,8.29
"46",2021-04-04,"Marion",1033,0,0.038,22.571,1032.14,0,15,0.86,0,0,0,5,6.57
"47",2021-04-04,"Miller",4222,0,0.076,43.429,4213.43,0,14,3.29,0,0,1,31,34.14
"48",2021-04-04,"MissingCountyInfo",2798,-0.005,-0.561,39.714,2815.71,-1,196,-22.29,0,0,1,28,26.43
"49",2021-04-04,"Mississippi",5758,0.091,0.03,86.143,5750.14,2,22,2.57,0,0,0,24,22.71
"50",2021-04-04,"Monroe",862,0,0.036,12,861.57,0,4,0.43,0,0.14,0,1,4.14
"51",2021-04-04,"Montgomery",751,0,0.007,21.571,750.57,0,7,0.14,0,0.14,1,0,1.86
"52",2021-04-04,"Nevada",818,0,0.011,26.571,816.71,0,2,0.29,0,0,0,3,2.57
"53",2021-04-04,"Newton",707,0,0.033,8.571,706.57,0,7,0.29,0,0,0,2,1.71
"54",2021-04-04,"Ouachita",2292,0.2,0.025,34,2290.43,1,5,0.86,0,0,0,5,4.29
"55",2021-04-04,"Perry",827,-0.5,0.097,8.857,824.14,2,-4,0.86,0,0,0,4,2.43
"56",2021-04-04,"Phillips",1743,0.043,0.028,40.143,1738.57,1,23,1.14,0,0,0,8,3.86
"57",2021-04-04,"Pike",997,0,0,19,997,0,13,0,0,0,0,0,0.43
"58",2021-04-04,"Poinsett",3117,0,0.009,65.571,3115,0,49,0.57,0,0,1,8,10.71
"59",2021-04-04,"Polk",1964,0,0.048,17.857,1961.43,0,8,0.86,0,0.29,1,4,3.57
"60",2021-04-04,"Pope",7875,0.029,0.046,106.571,7863.57,2,68,4.86,0,0.29,1,28,22.29
"61",2021-04-04,"Prairie",888,0.062,0.021,6.857,887.14,1,16,0.14,0,0,0,1,0.86
"62",2021-04-04,"Pulaski",38399,0.012,0.022,968.714,38336.43,10,864,21,0,1.43,12,221,238.29
"63",2021-04-04,"Randolph",2066,0,0.046,40,2061.71,0,13,1.86,0,0,0,16,13.43
