"","cleaned_county","yearmon","total_cases"
"1","---","2020-05",46
"2","arkansas","2020-07",20
"3","arkansas","2020-09",37
"4","arkansas","2020-10",98
"5","arkansas","2020-11",40
"6","arkansas","2021-01",85
"7","arkansas","2021-02",71
"8","baxter","2021-02",6
"9","baxter","2021-04",7
"10","benton","2020-05",98
"11","benton","2020-06",652
"12","benton","2020-07",828
"13","benton","2020-08",560
"14","benton","2020-11",104
"15","benton","2020-12",601
"16","benton","2021-01",254
"17","boone","2020-07",8
"18","boone","2020-08",9
"19","bradley","2020-12",17
"20","carroll","2020-06",35
"21","carroll","2020-07",72
"22","carroll","2020-08",84
"23","carroll","2020-09",103
"24","carroll","2020-10",189
"25","carroll","2020-11",257
"26","carroll","2020-12",386
"27","carroll","2021-01",407
"28","cleveland","2020-08",15
"29","craighead","2020-05",31
"30","craighead","2020-07",38
"31","craighead","2020-08",55
"32","craighead","2020-09",54
"33","craighead","2020-10",69
"34","craighead","2020-11",237
"35","craighead","2020-12",329
"36","craighead","2021-01",413
"37","craighead","2021-02",35
"38","crawford","2020-06",68
"39","crawford","2020-07",143
"40","crawford","2020-08",254
"41","crawford","2020-09",218
"42","crawford","2020-11",260
"43","crawford","2020-12",267
"44","crawford","2021-01",281
"45","crittenden","2020-06",16
"46","dallas","2020-12",13
"47","desha","2020-10",17
"48","faulkner","2020-10",13
"49","faulkner","2020-11",11
"50","franklin","2020-06",13
"51","franklin","2020-07",31
"52","garland","2020-08",25
"53","garland","2020-09",20
"54","greene","2020-10",21
"55","greene","2020-12",79
"56","hempstead","2020-08",32
"57","hempstead","2020-12",65
"58","hempstead","2021-01",90
"59","howard","2020-06",7
"60","howard","2020-07",39
"61","howard","2020-08",41
"62","howard","2020-10",69
"63","howard","2020-12",71
"64","howard","2021-01",109
"65","howard","2021-02",121
"66","independence","2020-07",35
"67","independence","2020-08",175
"68","independence","2020-09",193
"69","jefferson","2020-05",56
"70","jefferson","2020-07",36
"71","jefferson","2020-08",37
"72","jefferson","2020-09",68
"73","jefferson","2020-10",172
"74","jefferson","2020-11",81
"75","jefferson","2021-02",22
"76","johnson","2020-05",14
"77","johnson","2020-06",54
"78","johnson","2020-07",203
"79","johnson","2020-08",218
"80","johnson","2020-12",247
"81","johnson","2021-01",284
"82","johnson","2021-03",297
"83","little_river","2020-12",41
"84","madison","2020-05",10
"85","madison","2020-06",138
"86","madison","2020-07",156
"87","madison","2020-11",168
"88","miller","2020-10",29
"89","mississippi","2020-08",19
"90","mississippi","2020-09",16
"91","mississippi","2020-10",43
"92","mississippi","2020-11",34
"93","mississippi","2020-12",125
"94","mississippi","2021-01",63
"95","ouachita","2020-11",20
"96","ouachita","2020-12",36
"97","ouachita","2021-01",129
"98","ouachita","2021-02",78
"99","pike","2020-12",11
"100","poinsett","2020-10",17
"101","poinsett","2020-11",19
"102","polk","2020-06",28
"103","polk","2020-07",29
"104","pope","2020-06",75
"105","pope","2020-07",212
"106","pope","2020-08",241
"107","pope","2020-09",19
"108","pope","2020-10",198
"109","pope","2020-11",313
"110","pope","2020-12",620
"111","pope","2021-01",464
"112","pope","2021-02",353
"113","pulaski","2020-06",15
"114","pulaski","2020-07",6
"115","pulaski","2020-08",7
"116","pulaski","2020-10",7
"117","pulaski","2020-12",56
"118","pulaski","2021-01",135
"119","pulaski","2021-02",191
"120","randolph","2020-07",42
"121","randolph","2020-08",61
"122","randolph","2020-09",66
"123","randolph","2020-10",76
"124","randolph","2020-11",86
"125","randolph","2020-12",110
"126","saline","2020-11",12
"127","scott","2020-10",13
"128","scott","2020-11",56
"129","scott","2020-12",56
"130","scott","2021-01",186
"131","sebastian","2020-06",13
"132","sebastian","2020-07",187
"133","sebastian","2020-08",281
"134","sebastian","2020-10",269
"135","sebastian","2020-11",95
"136","sebastian","2020-12",139
"137","sebastian","2021-01",89
"138","sebastian","2021-02",138
"139","sebastian","2021-03",26
"140","sevier","2020-05",59
"141","sevier","2020-06",210
"142","sevier","2020-07",255
"143","sevier","2020-08",259
"144","sevier","2020-11",283
"145","st. francis","2020-05",35
"146","st. francis","2020-10",26
"147","union","2021-01",26
"148","van_buren","2020-08",8
"149","washington","2020-05",51
"150","washington","2020-06",662
"151","washington","2020-07",890
"152","washington","2020-08",669
"153","washington","2020-09",879
"154","washington","2020-10",382
"155","washington","2020-11",8
"156","washington","2020-12",589
"157","washington","2021-01",569
"158","washington","2021-02",75
"159","washington","2021-03",23
"160","white","2020-10",14
"161","yell","2020-05",71
"162","yell","2020-06",217
"163","yell","2020-07",344
"164","yell","2020-08",284
"165","yell","2020-12",366
"166","yell","2021-01",202
"167","yell, pope","2020-05",50
