"","date","industry","city","county","number_active_cases","number_recovered_cases","total_number_of_cases"
"1:1",2021-02-01,"Manufacturing","Little Rock","Pulaski",7,56,63
"1:2",2021-02-01,"Administrative and Support and Waste Management and
Remediation Services","Ft Smith","Sebastian",6,23,29
"1:3",2021-02-01,"Manufacturing","Nashville","Howard",9,106,115
"1:4",2021-02-01,"Manufacturing","Little Rock","Pulaski",5,33,38
"2:1",2021-01-28,"Manufacturing","Russellville","Pope",5,337,342
"2:2",2021-01-28,"Manufacturing","Little Rock","Pulaski",6,54,60
"2:3",2021-01-28,"Manufacturing","Camden","Ouachita",6,64,70
"2:4",2021-01-28,"Manufacturing","Clarksville","Johnson",8,276,284
"2:5",2021-01-28,"Manufacturing","Nashville","Howard",12,97,109
"3:1",2021-01-25,"Public Administration","Camden","Ouachita",6,2,8
"3:2",2021-01-25,"Manufacturing","Russellville","Pope",6,333,339
"3:3",2021-01-25,"Manufacturing","Stuttgart","Arkansas",5,80,85
"3:4",2021-01-25,"Manufacturing","Camden","Ouachita",7,62,69
"3:5",2021-01-25,"Manufacturing","Hope","Hempstead",5,85,90
"3:6",2021-01-25,"Manufacturing","Springdale","Washington",6,410,416
"3:7",2021-01-25,"Manufacturing","Clarksville","Johnson",10,272,282
"3:8",2021-01-25,"Manufacturing","Dardanelle","Yell",8,158,166
"3:9",2021-01-25,"Manufacturing","Nashville","Howard",11,92,103
"4:1",2021-01-11,"Manufacturing","Waldron","Scott",24,69,93
"4:2",2021-01-11,"Manufacturing","Russellville","Pope",12,303,315
"4:3",2021-01-11,"Manufacturing","Jonesboro","Craighead",7,121,128
"4:4",2021-01-11,"Manufacturing","Siloam Springs","Benton",7,26,33
"4:5",2021-01-11,"Manufacturing","Atkins","Pope",6,107,113
"4:6",2021-01-11,"Manufacturing","Clarksville","Johnson",6,254,260
"4:7",2021-01-11,"Manufacturing","Dardanelle","Yell",6,141,147
"4:8",2021-01-11,"Finance and Insurance","Little Rock","Pulaski",5,15,20
