"","yearmon","cleaned_county","positive2","New_Cases"
"1","2020-04","arkansas_county",2,1
"2","2020-04","ashley",15,2
"3","2020-04","baxter",5,1
"4","2020-04","benton",101,7
"5","2020-04","boone",5,1
"6","2020-04","bradley",12,1
"7","2020-04","calhoun",0,0
"8","2020-04","carroll",5,1
"9","2020-04","chicot",9,1
"10","2020-04","clark",30,3
"11","2020-04","clay",3,1
"12","2020-04","cleburne",73,1
"13","2020-04","cleveland",11,1
"14","2020-04","columbia",12,6
"15","2020-04","conway",13,1
"16","2020-04","craighead",74,1
"17","2020-04","crawford",4,1
"18","2020-04","crittenden",184,4
"19","2020-04","cross",17,1
"20","2020-04","dallas",1,0
"21","2020-04","desha",16,6
"22","2020-04","drew",16,2
"23","2020-04","faulkner",76,1
"24","2020-04","franklin",2,2
"25","2020-04","fulton",1,1
"26","2020-04","garland",116,1
"27","2020-04","grant",14,1
"28","2020-04","greene",16,2
"29","2020-04","hempstead",6,1
"30","2020-04","hotspring",18,2
"31","2020-04","howard",14,2
"32","2020-04","independence",9,1
"33","2020-04","izard",5,2
"34","2020-04","jackson",1,1
"35","2020-04","jefferson",169,1
"36","2020-04","johnson",30,1
"37","2020-04","lafayette",7,1
"38","2020-04","lawrence",49,3
"39","2020-04","lee",3,1
"40","2020-04","lincoln",814,58
"41","2020-04","little_river",0,0
"42","2020-04","logan",3,1
"43","2020-04","lonoke",41,1
"44","2020-04","madison",1,0
"45","2020-04","marion",1,1
"46","2020-04","miller",34,1
"47","2020-04","mississippi",16,1
"48","2020-04","monroe",4,1
"49","2020-04","montgomery",1,2
"50","2020-04","nevada",1,0
"51","2020-04","newton",3,1
"52","2020-04","ouachita",6,1
"53","2020-04","perry",7,1
"54","2020-04","phillips",5,1
"55","2020-04","pike",3,1
"56","2020-04","poinsett",21,2
"57","2020-04","poinsette",7,1
"58","2020-04","polk",8,1
"59","2020-04","pope",43,1
"60","2020-04","prairie",2,0
"61","2020-04","pulaski",515,15
"62","2020-04","randolph",17,1
"63","2020-04","saline",67,8
"64","2020-04","scott",1,0
"65","2020-04","searcy",6,0
"66","2020-04","sebastian",13,1
"67","2020-04","sevier",11,1
"68","2020-04","sharp",6,4
"69","2020-04","st.francis",83,1
"70","2020-04","stone",7,0
"71","2020-04","union",45,1
"72","2020-04","van_buren",28,1
"73","2020-04","washington",86,2
"74","2020-04","white",34,1
"75","2020-04","woodruff",1,0
"76","2020-04","yell",3,1
"77","2020-05","arkansas_county",6,1
"78","2020-05","ashley",19,1
"79","2020-05","baxter",12,1
"80","2020-05","benton",578,71
"81","2020-05","boone",6,1
"82","2020-05","bradley",22,4
"83","2020-05","calhoun",0,0
"84","2020-05","carroll",24,3
"85","2020-05","chicot",15,1
"86","2020-05","clark",39,1
"87","2020-05","clay",4,2
