"","cleaned_company","date","yearmon","Uniqueid","cleaned_county","total_number_of_cases"
"1","belleville_boot",2020-05-26,"2020-05",1,"st. francis",35
"2","nebo poultry",2020-05-29,"2020-05",2,"yell",62
"3","nebo poultry",2020-06-08,"2020-06",2,"yell",63
"4","nebo poultry",2020-07-03,"2020-07",2,"yell",66
"5","best manufacturing",2020-05-26,"2020-05",3,"craighead",12
"6","riceland_foods",2020-05-19,"2020-05",4,"craighead",9
"7","riceland_foods",2020-10-29,"2020-10",5,"arkansas",39
"8","riceland_foods",2020-11-02,"2020-11",5,"arkansas",40
"9","riceland_foods",2021-02-04,"2021-02",6,"sebastian",31
"10","pilgrims_pride",2020-05-29,"2020-05",7,"sevier",59
"11","pilgrims_pride",2020-06-25,"2020-06",7,"sevier",210
"12","pilgrims_pride",2020-07-31,"2020-07",7,"sevier",255
"13","pilgrims_pride",2020-08-13,"2020-08",7,"sevier",259
"14","pilgrims_pride",2020-11-16,"2020-11",7,"sevier",283
"15","frito lay",2020-05-19,"2020-05",8,"craighead",10
"16","frito lay",2020-07-31,"2020-07",8,"craighead",25
"17","frito lay",2020-08-17,"2020-08",8,"craighead",40
"18","frito lay",2020-11-23,"2020-11",8,"craighead",81
"19","frito lay",2020-12-24,"2020-12",8,"craighead",116
"20","frito lay",2021-01-11,"2021-01",8,"craighead",128
"21","saracen_casino_construction",2020-05-22,"2020-05",9,"jefferson",56
"22","georges_poultry",2020-05-29,"2020-05",10,"benton",92
"23","georges_poultry",2020-06-25,"2020-06",10,"benton",268
"24","georges_poultry",2020-07-20,"2020-07",10,"benton",278
"25","georges_poultry",2020-05-22,"2020-05",11,"washington",7
"26","georges_poultry",2020-06-25,"2020-06",11,"washington",120
"27","georges_poultry",2020-07-31,"2020-07",11,"washington",246
"28","georges_poultry",2020-08-07,"2020-08",11,"washington",258
"29","georges_poultry",2020-09-17,"2020-09",11,"washington",290
"30","georges_poultry",2021-01-07,"2021-01",11,"washington",94
"31","georges_poultry",2020-07-31,"2020-07",12,"independence",10
"32","georges_poultry",2020-08-13,"2020-08",12,"independence",19
"33","georges_poultry",2020-09-17,"2020-09",12,"independence",42
"34","cargill poultry",2020-05-29,"2020-05",13,"washington",44
"35","cargill poultry",2020-06-25,"2020-06",13,"washington",156
"36","cargill poultry",2020-07-31,"2020-07",13,"washington",208
"37","cargill poultry",2020-09-14,"2020-09",13,"washington",224
"38","butterball",2020-05-29,"2020-05",14,"madison",10
"39","butterball",2020-06-25,"2020-06",14,"madison",138
"40","butterball",2020-07-20,"2020-07",14,"madison",156
"41","butterball",2020-11-30,"2020-11",14,"madison",168
"42","tyson",2020-05-29,"2020-05",15,"yell",9
"43","tyson",2020-06-25,"2020-06",15,"yell",45
"44","tyson",2020-07-31,"2020-07",15,"yell",80
"45","tyson",2020-08-10,"2020-08",15,"yell",85
"46","tyson",2020-12-24,"2020-12",15,"yell",136
"47","tyson",2021-01-25,"2021-01",15,"yell",166
"48","tyson",2020-05-29,"2020-05",16,"johnson",14
"49","tyson",2020-06-25,"2020-06",16,"johnson",54
"50","tyson",2020-07-31,"2020-07",16,"johnson",203
"51","tyson",2020-08-17,"2020-08",16,"johnson",218
"52","tyson",2020-12-17,"2020-12",16,"johnson",247
"53","tyson",2021-01-28,"2021-01",16,"johnson",284
"54","tyson",2021-03-15,"2021-03",16,"johnson",297
"55","tyson",2020-06-25,"2020-06",17,"benton",226
"56","tyson",2020-07-31,"2020-07",17,"benton",267
"57","tyson",2020-08-03,"2020-08",17,"benton",269
"58","tyson",2020-12-24,"2020-12",17,"benton",322
"59","tyson",2020-06-25,"2020-06",18,"benton",64
"60","tyson",2020-07-31,"2020-07",18,"benton",100
"61","tyson",2020-08-07,"2020-08",18,"benton",105
"62","tyson",2020-12-31,"2020-12",18,"benton",120
"63","tyson",2021-01-07,"2021-01",18,"benton",126
"64","tyson",2020-06-25,"2020-06",19,"washington",283
"65","tyson",2020-07-31,"2020-07",19,"washington",344
"66","tyson",2020-08-17,"2020-08",19,"washington",347
"67","tyson",2020-09-17,"2020-09",19,"washington",365
"68","tyson",2020-10-29,"2020-10",19,"washington",382
"69","tyson",2020-12-31,"2020-12",19,"washington",403
"70","tyson",2021-01-25,"2021-01",19,"washington",416
"71","tyson",2020-06-21,"2020-06",20,"polk",28
"72","tyson",2020-07-03,"2020-07",20,"polk",29
"73","tyson",2020-06-25,"2020-06",21,"washington",39
"74","tyson",2020-07-06,"2020-07",21,"washington",42
"75","tyson",2020-12-14,"2020-12",21,"washington",114
"76","tyson",2020-06-25,"2020-06",22,"crawford",41
"77","tyson",2020-07-31,"2020-07",22,"crawford",93
"78","tyson",2020-08-31,"2020-08",22,"crawford",200
"79","tyson",2020-09-24,"2020-09",22,"crawford",218
"80","tyson",2020-11-26,"2020-11",22,"crawford",253
"81","tyson",2020-12-14,"2020-12",22,"crawford",267
"82","tyson",2021-01-14,"2021-01",22,"crawford",281
"83","tyson",2020-06-14,"2020-06",23,"carroll",10
"84","tyson",2020-10-05,"2020-10",23,"carroll",42
"85","tyson",2020-11-30,"2020-11",23,"carroll",64
"86","tyson",2020-12-24,"2020-12",23,"carroll",93
"87","tyson",2021-01-21,"2021-01",23,"carroll",119
"88","tyson",2020-06-25,"2020-06",24,"carroll",25
"89","tyson",2020-07-31,"2020-07",24,"carroll",72
"90","tyson",2020-08-24,"2020-08",24,"carroll",84
"91","tyson",2020-09-24,"2020-09",24,"carroll",103
"92","tyson",2020-10-29,"2020-10",24,"carroll",147
"93","tyson",2020-11-30,"2020-11",24,"carroll",193
"94","tyson",2020-12-31,"2020-12",24,"carroll",276
"95","tyson",2021-01-18,"2021-01",24,"carroll",288
"96","tyson",2020-06-25,"2020-06",25,"washington",37
"97","tyson",2020-07-20,"2020-07",25,"washington",50
"98","tyson",2020-08-07,"2020-08",25,"washington",64
"99","tyson",2020-06-25,"2020-06",26,"pope",13
"100","tyson",2020-07-20,"2020-07",26,"pope",43
"101","tyson",2020-08-03,"2020-08",26,"pope",56
"102","tyson",2020-11-02,"2020-11",26,"pope",84
"103","tyson",2020-12-31,"2020-12",26,"pope",129
"104","tyson",2020-07-31,"2020-07",27,"howard",39
"105","tyson",2020-08-03,"2020-08",27,"howard",41
"106","tyson",2020-10-29,"2020-10",27,"howard",69
"107","tyson",2021-01-28,"2021-01",27,"howard",109
"108","tyson",2021-02-08,"2021-02",27,"howard",121
"109","tyson",2020-08-17,"2020-08",28,"hempstead",32
"110","tyson",2020-12-14,"2020-12",28,"hempstead",65
"111","tyson",2021-01-25,"2021-01",28,"hempstead",90
"112","tyson",2020-08-17,"2020-08",29,"jefferson",37
"113","tyson",2020-09-28,"2020-09",29,"jefferson",59
"114","tyson",2020-10-29,"2020-10",29,"jefferson",70
"115","tyson",2020-11-12,"2020-11",29,"jefferson",81
"116","tyson",2020-10-29,"2020-10",30,"scott",13
"117","tyson",2020-11-30,"2020-11",30,"scott",36
"118","tyson",2020-12-14,"2020-12",30,"scott",56
"119","tyson",2021-01-18,"2021-01",30,"scott",93
"120","tyson",2020-12-31,"2020-12",31,"washington",51
"121","tyson",2021-02-08,"2021-02",31,"washington",75
"122","wayne farms",2020-06-25,"2020-06",32,"yell",109
"123","wayne farms",2020-07-31,"2020-07",32,"yell",198
"124","wayne farms",2020-08-03,"2020-08",32,"yell",199
"125","wayne farms",2020-12-24,"2020-12",32,"yell",230
"126","simmons_foods",2020-06-21,"2020-06",33,"crawford",27
"127","simmons_foods",2020-07-31,"2020-07",33,"crawford",50
"128","simmons_foods",2020-08-10,"2020-08",33,"crawford",54
"129","simmons_foods",2020-06-25,"2020-06",34,"benton",23
"130","simmons_foods",2020-07-31,"2020-07",34,"benton",71
"131","simmons_foods",2020-08-17,"2020-08",34,"benton",84
"132","simmons_foods",2020-06-08,"2020-06",35,"benton",7
"133","simmons_foods",2020-07-27,"2020-07",35,"benton",25
"134","simmons_foods",2020-08-17,"2020-08",35,"benton",74
"135","simmons_foods",2020-11-19,"2020-11",35,"benton",104
"136","simmons_foods",2020-12-14,"2020-12",35,"benton",116
"137","simmons_foods",2020-07-31,"2020-07",36,"sebastian",29
"138","simmons_foods",2020-08-07,"2020-08",36,"sebastian",31
"139","simmons_foods",2020-11-05,"2020-11",36,"sebastian",46
"140","southeast poultry",2020-06-25,"2020-06",37,"benton",57
"141","southeast poultry",2020-07-06,"2020-07",37,"benton",73
"142","hino motors",2020-06-14,"2020-06",38,"crittenden",16
"143","twin rivers foods",2020-06-25,"2020-06",39,"pope",33
"144","twin rivers foods",2020-07-03,"2020-07",39,"pope",42
"145","twin rivers foods",2020-12-21,"2020-12",39,"pope",160
"146","twin rivers foods",2021-01-18,"2021-01",39,"pope",122
"147","twin rivers foods",2020-08-17,"2020-08",40,"sebastian",16
"148","twin rivers foods",2020-12-17,"2020-12",40,"sebastian",47
"149","husqvarna",2020-06-08,"2020-06",41,"howard",7
"150","husqvarna",2020-12-24,"2020-12",41,"howard",71
"151","consulate of mexico",2020-06-08,"2020-06",42,"pulaski",5
"152","park hill collection warehouse",2020-06-14,"2020-06",43,"pulaski",10
"153","walmart",2020-06-14,"2020-06",44,"benton",7
"154","walmart",2020-07-20,"2020-07",45,"independence",5
"155","rockline industries",2020-06-21,"2020-06",46,"pope",16
"156","rockline industries",2020-06-25,"2020-06",47,"washington",21
"157","target",2020-06-18,"2020-06",48,"washington",6
"158","ok foods",2020-06-25,"2020-06",49,"sebastian",13
"159","ok foods",2020-07-31,"2020-07",49,"sebastian",158
"160","ok foods",2020-08-31,"2020-08",49,"sebastian",234
"161","ok foods",2020-10-15,"2020-10",49,"sebastian",269
"162","con_agra",2020-06-25,"2020-06",50,"pope",13
"163","con_agra",2020-07-31,"2020-07",50,"pope",127
"164","con_agra",2020-08-17,"2020-08",50,"pope",178
"165","con_agra",2020-10-12,"2020-10",50,"pope",198
"166","con_agra",2020-11-30,"2020-11",50,"pope",229
"167","con_agra",2020-12-31,"2020-12",50,"pope",293
"168","con_agra",2021-01-28,"2021-01",50,"pope",342
"169","con_agra",2021-02-11,"2021-02",50,"pope",353
"170","con_agra",2021-01-18,"2021-01",51,"washington",59
"171","tmc logistics",2020-07-06,"2020-07",52,"benton",14
"172","evergreen packaging",2020-07-20,"2020-07",53,"jefferson",36
"173","evergreen packaging",2020-10-29,"2020-10",53,"jefferson",92
"174","peco",2020-07-31,"2020-07",54,"randolph",42
"175","peco",2020-08-31,"2020-08",54,"randolph",61
