"","yearmon","date","cleaned_company","cleaned_address","cleaned_city","cleaned_county","total_number_of_cases"
"1","2020-11",2020-11-23,"abb",NA,"fort_smith","sebastian",49
"2","2020-12",2020-12-14,"abb",NA,"fort_smith","sebastian",75
"3","2021-01",2021-01-07,"abb",NA,"fort_smith","sebastian",89
"4","2021-01",2021-01-07,"american greetings co.",NA,"osceola","mississippi",63
"5","2020-05",2020-05-26,"belleville_boot",NA,"forrest city","st. francis",35
"6","2020-05",2020-05-26,"best manufacturing",NA,"jonesboro","craighead",12
"7","2020-09",2020-09-09,"big river steel",NA,"osceola","mississippi",16
"8","2020-10",2020-10-15,"big rock kangaroof",NA,"little rock","pulaski",7
"9","2020-05",2020-05-29,"butterball",NA,"huntsville","madison",10
"10","2020-06",2020-06-25,"butterball",NA,"huntsville","madison",138
"11","2020-07",2020-07-20,"butterball",NA,"huntsville","madison",156
"12","2020-11",2020-11-30,"butterball",NA,"huntsville","madison",168
"13","2020-06",2020-06-25,"butterball",NA,"ozark","franklin",13
"14","2020-07",2020-07-24,"butterball",NA,"ozark","franklin",31
"15","2020-05",2020-05-29,"cargill poultry",NA,"springdale","washington",44
"16","2021-01",2021-01-11,"clean harbors evnvironmental services",NA,"el dorado","union",26
"17","2020-07",2020-07-31,"con_agra",NA,"russellville","pope",127
"18","2020-08",2020-08-17,"con_agra",NA,"russellville","pope",178
"19","2020-10",2020-10-12,"con_agra",NA,"russellville","pope",198
"20","2020-11",2020-11-30,"con_agra",NA,"russellville","pope",229
"21","2020-12",2020-12-31,"con_agra",NA,"russellville","pope",293
"22","2021-01",2021-01-28,"con_agra",NA,"russellville","pope",342
"23","2021-02",2021-02-11,"con_agra",NA,"russellville","pope",353
"24","2020-10",2020-10-22,"cooper tire",NA,"texarkana","miller",29
"25","2020-12",2020-12-14,"dassault falcon jet llc",NA,"little rock","pulaski",38
"26","2021-01",2021-01-28,"dassault falcon jet llc",NA,"little rock","pulaski",60
"27","2021-02",2021-02-01,"dassault falcon jet llc",NA,"little rock","pulaski",63
"28","2020-10",2020-10-05,"denso manufacturing",NA,"osceola","mississippi",43
"29","2020-12",2020-12-14,"denso manufacturing",NA,"osceola","mississippi",67
"30","2020-10",2020-10-29,"diamond pet foods",NA,"dumas","desha",17
"31","2021-02",2021-02-04,"dillards",NA,"stuttgart","arkansas",64
"32","2020-12",2020-12-24,"domtar paper co.",NA,"ashdown","little_river",41
"33","2020-10",2020-10-08,"dooley agri",NA,"forestry","st. francis",26
"34","2020-07",2020-07-20,"evergreen packaging",NA,"pine_bluff","jefferson",36
"35","2020-10",2020-10-29,"evergreen packaging",NA,"pine_bluff","jefferson",92
"36","2021-04",2021-04-08,"first security bank",NA,"mountain home","baxter",7
"37","2020-07",2020-07-31,"frito lay",NA,"jonesboro","craighead",25
"38","2020-08",2020-08-17,"frito lay",NA,"jonesboro","craighead",40
"39","2020-12",2020-12-24,"frito lay",NA,"jonesboro","craighead",116
"40","2021-01",2021-01-11,"frito lay",NA,"jonesboro","craighead",128
"41","2020-05",2020-05-29,"georges_poultry",NA,"rogers","benton",92
"42","2020-06",2020-06-25,"georges_poultry",NA,"rogers","benton",268
"43","2020-07",2020-07-20,"georges_poultry",NA,"rogers","benton",278
"44","2020-08",2020-08-31,"global food group",NA,"clinton","van_buren",8
"45","2021-02",2021-02-11,"great dane trailers",NA,"jonesboro","craighead",35
"46","2020-10",2020-10-26,"greenbrier rail",NA,"paragould","greene",21
"47","2020-06",2020-06-14,"hino motors",NA,"marion","crittenden",16
"48","2020-06",2020-06-08,"husqvarna",NA,"ashdown","howard",7
"49","2020-12",2020-12-24,"husqvarna",NA,"ashdown","howard",71
"50","2020-09",2020-09-24,"hytrol conveyor company",NA,"jonesboro","craighead",43
"51","2020-10",2020-10-15,"hytrol conveyor company",NA,"jonesboro","craighead",58
"52","2020-11",2020-11-23,"hytrol conveyor company",NA,"jonesboro","craighead",88
"53","2021-03",2021-03-22,"k&k veterinary supply",NA,"tontitown","washington",12
"54","2020-08",2020-08-17,"kagome foods",NA,"osceola","mississippi",19
"55","2021-03",2021-03-22,"klein tools",NA,"fort_smith","sebastian",26
"56","2020-10",2020-10-15,"land o'frost",NA,"searcy","white",14
"57","2020-09",2020-09-28,"lennox industries",NA,"stuttgart","arkansas",37
"58","2020-10",2020-10-26,"lennox industries",NA,"stuttgart","arkansas",59
"59","2021-01",2021-01-25,"lennox industries",NA,"stuttgart","arkansas",85
"60","2020-11",2020-11-12,"lockheed martin",NA,"camden","ouachita",20
"61","2020-12",2020-12-07,"lockheed martin",NA,"camden","ouachita",36
"62","2021-01",2021-01-28,"lockheed martin",NA,"camden","ouachita",70
"63","2021-02",2021-02-11,"lockheed martin",NA,"camden","ouachita",78
"64","2020-09",2020-09-09,"mahle engine components",NA,"russellville","pope",11
"65","2020-11",2020-11-23,"maynard inc.",NA,"fayetteville","washington",8
"66","2020-11",2020-11-16,"nabholz",NA,"conway","faulkner",11
"67","2020-05",2020-05-26,"nebo poultry",NA,"dardanelle","yell",63
"68","2020-05",2020-05-22,"nebo poultry",NA,"dardanelle, russellville","yell, pope",50
"69","2020-11",2020-11-30,"nucor-yamato steel",NA,"blytheville","mississippi",34
"70","2020-06",2020-06-25,"ok foods",NA,"fort_smith","sebastian",13
"71","2020-07",2020-07-31,"ok foods",NA,"fort_smith","sebastian",158
"72","2020-08",2020-08-31,"ok foods",NA,"fort_smith","sebastian",234
"73","2020-10",2020-10-12,"ok foods",NA,"fort_smith","sebastian",270
"74","2020-07",2020-07-31,"pace industries",NA,"harrison","boone",8
"75","2020-08",2020-08-03,"pace industries",NA,"harrison","boone",9
"76","2020-06",2020-06-14,"park hill collection warehouse",NA,"little rock","pulaski",10
"77","2020-07",2020-07-31,"peco",NA,"batesville","independence",20
