"","cleaned_company","date","yearmon","Uniqueid","cleaned_city","cleaned_county","total_number_of_cases"
"1","first security bank",2021-04-08,"2021-04",141,"mountain home","baxter",7
"2","tyson",2021-03-15,"2021-03",16,"clarksville","johnson",297
"3","con_agra",2021-02-11,"2021-02",50,"russellville","pope",353
"4","tyson",2021-01-25,"2021-01",19,"springdale","washington",416
"5","tyson",2020-12-31,"2020-12",19,"springdale","washington",403
"6","pilgrims_pride",2020-11-12,"2020-11",7,"de queen","sevier",283
"7","pilgrims_pride",2020-11-16,"2020-11",7,"de queen","sevier",283
"8","tyson",2020-10-29,"2020-10",19,"springdale","washington",382
"9","tyson",2020-09-17,"2020-09",19,"springdale","washington",365
"10","tyson",2020-08-17,"2020-08",19,"springdale","washington",347
"11","tyson",2020-07-31,"2020-07",19,"springdale","washington",344
"12","tyson",2020-06-25,"2020-06",19,"springdale","washington",283
"13","georges_poultry",2020-05-29,"2020-05",10,"rogers","benton",92
