"","Date","Business Name","City","County","Address","Industry Type"
"1",2021-01-28,"ConAgra","Russellville","Pope","",""
"2",2021-01-28,"Dassault Falcon Jet LLC","Little Rock","Pulaski","",""
"3",2021-01-28,"Lockheed Martin","Camden","Ouachita","",""
"4",2021-01-28,"Tyson","Clarksville","Johnson","",""
"5",2021-01-28,"Tyson","Nashville","Howard","",""
"6",2021-01-25,"City of Camden","Camden","Ouachita","",""
"7",2021-01-25,"ConAgra","Russellville","Pope","",""
"8",2021-01-25,"Lennox Industries","Stuttgart","Arkansas","",""
"9",2021-01-25,"Lockheed Martin","Camden","Ouachita","",""
"10",2021-01-25,"Tyson","Hope","Hempstead","275 Hempstead 278",""
"11",2021-01-25,"Tyson","Springdale","Washington","Berry St.",""
"12",2021-01-25,"Tyson","Clarksville","Johnson","",""
"13",2021-01-25,"Tyson","Dardanelle","Yell","",""
"14",2021-01-25,"Tyson","Nashville","Howard","",""
"15",2021-01-21,"Aerojet Rocketdyne","Camden","Ouachita","",""
"16",2021-01-21,"Bell & Company","North Little Rock","Pulaski","",""
"17",2021-01-21,"ConAgra","Russellville","Pope","",""
"18",2021-01-21,"Tyson","Springdale","Washington","Berry St.",""
"19",2021-01-21,"Tyson","Berryville","Carroll","",""
"20",2021-01-21,"Tyson","Clarksville","Johnson","",""
"21",2021-01-21,"Tyson","Dardanelle","Yell","",""
"22",2021-01-18,"Bell & Company","North Little Rock","Pulaski","",""
"23",2021-01-18,"ConAgra","Russellville","Pope","",""
"24",2021-01-18,"ConAgra/Pinnacle Foods","Fayetteville","Washington","",""
"25",2021-01-18,"Gates Rubber Corportation","Jonesboro","Craighead","",""
"26",2021-01-18,"L'Oreal Manufacturing center","North Little Rock","Pulaski","",""
"27",2021-01-18,"Lockheed Martin","Camden","Ouachita","",""
"28",2021-01-18,"Twin Rivers Foods","Atkins","Pope","",""
"29",2021-01-18,"Tyson","Hope","Hempstead","275 Hempstead 278",""
"30",2021-01-18,"Tyson","Springdale","Washington","Berry St.",""
"31",2021-01-18,"Tyson","Berryville","Carroll","",""
"32",2021-01-18,"Tyson","Clarksville","Johnson","",""
