"","date","company_name","address","city","county","number_active_cases","number_recovered_cases","industry","total_business","new_total","total_new","total_number_of_cases","percent_closed","x12","latitude","longitude"
"3:1","2021-02-11",NA,NA,"Maumelle","Pulaski","9","10","Manufacturing",NA,NA,NA,19,NA,NA,NA,NA
"3:2","2021-02-11",NA,NA,"Russellville","Pope","6","347","Manufacturing",NA,NA,NA,353,NA,NA,NA,NA
"3:3","2021-02-11",NA,NA,"North Little Rock","Pulaski","6","37","Manufacturing",NA,NA,NA,43,NA,NA,NA,NA
"3:4","2021-02-11",NA,NA,"Jonesboro","Craighead","8","27","Manufacturing",NA,NA,NA,35,NA,NA,NA,NA
"3:5","2021-02-11",NA,NA,"Maumelle","Pulaski","6","9","Manufacturing",NA,NA,NA,15,NA,NA,NA,NA
"3:6","2021-02-11",NA,NA,"Camden","Ouachita","6","72","Manufacturing",NA,NA,NA,78,NA,NA,NA,NA
"3:7","2021-02-11",NA,NA,"Ft Smith","Sebastian","5","30","Administrative and Support and Waste Management and
Remediation Services",NA,NA,NA,35,NA,NA,NA,NA
"3:8","2021-02-08","Claudia's Canine Bakery",NA,"Maumelle","Pulaski","10","9","Manufacturing",NA,NA,NA,19,NA,NA,NA,NA
"3:9","2021-02-08","ConAgra",NA,"Russellville","Pope","6","345","Manufacturing",NA,NA,NA,351,NA,NA,NA,NA
"3:10","2021-02-08","De Wafelbakkers",NA,"North Little Rock","Pulaski","6","34","Manufacturing",NA,NA,NA,40,NA,NA,NA,NA
"3:11","2021-02-08","Great Dane Trailers",NA,"Jonesboro","Craighead","5","27","Manufacturing",NA,NA,NA,32,NA,NA,NA,NA
"3:12","2021-02-08","Lamb & Associates Packaging",NA,"Maumelle","Pulaski","5","7","Manufacturing",NA,NA,NA,12,NA,NA,NA,NA
"3:13","2021-02-08","Lockheed Martin",NA,"Camden","Ouachita","6","71","Manufacturing",NA,NA,NA,77,NA,NA,NA,NA
"3:14","2021-02-08","Tyson Corporate","Don Tyson Pkwy","Springdale","Washington","5","70","Administrative and Support and Waste Management and
Remediation Services",NA,NA,NA,75,NA,NA,NA,NA
"3:15","2021-02-08","Tyson",NA,"Nashville","Howard","5","116","Manufacturing",NA,NA,NA,121,NA,NA,NA,NA
"3:16","2021-02-04","Tyson",NA,"Nashville","Howard","7","117","Manufacturing",NA,NA,NA,124,NA,NA,NA,NA
"3:17","2021-02-04","Welspun Pipes Inc.",NA,"Little Rock","Pulaski","6","33","Manufacturing",NA,NA,NA,39,NA,NA,NA,NA
"3:18","2021-02-04","Dillards Fulfillment Center",NA,"Stuttgart","Arkansas","5","59","Manufacturing",NA,NA,NA,64,NA,NA,NA,NA
"3:19","2021-02-04","Riceland Foods",NA,"Ft Smith","Sebastian","5","26","Other Services",NA,NA,NA,31,NA,NA,NA,NA
"3:20","2021-02-04","SYKES Enterprises Call Center",NA,"Maumelle","Pulaski","5","7","Retail Trade",NA,NA,NA,12,NA,NA,NA,NA
"3:21","2021-02-01","Dassault Falcon Jet LLC",NA,"Little Rock","Pulaski","7","56","Manufacturing",NA,NA,NA,63,NA,NA,NA,NA
"3:22","2021-02-01","SYKES Enterprises Call Center",NA,"Ft Smith","Sebastian","6","23","Administrative and Support and Waste Management and
Remediation Services",NA,NA,NA,29,NA,NA,NA,NA
"3:23","2021-02-01","Tyson",NA,"Nashville","Howard","9","106","Manufacturing",NA,NA,NA,115,NA,NA,NA,NA
"3:24","2021-02-01","Welspun Pipes Inc.",NA,"Little Rock","Pulaski","5","33","Manufacturing",NA,NA,NA,38,NA,NA,NA,NA
"3:25","2021-01-28","ConAgra",NA,"Russellville","Pope","5","337","Manufacturing",NA,NA,NA,342,NA,NA,NA,NA
"3:26","2021-01-28","Dassault Falcon Jet LLC",NA,"Little Rock","Pulaski","6","54","Manufacturing",NA,NA,NA,60,NA,NA,NA,NA
"3:27","2021-01-28","Lockheed Martin",NA,"Camden","Ouachita","6","64","Manufacturing",NA,NA,NA,70,NA,NA,NA,NA
"3:28","2021-01-28","Tyson",NA,"Clarksville","Johnson","8","276","Manufacturing",NA,NA,NA,284,NA,NA,NA,NA
"3:29","2021-01-28","Tyson",NA,"Nashville","Howard","12","97","Manufacturing",NA,NA,NA,109,NA,NA,NA,NA
"3:30","2021-01-25","City of Camden",NA,"Camden","Ouachita","6","2","Public Administration",NA,NA,NA,8,NA,NA,NA,NA
"3:31","2021-01-25","ConAgra",NA,"Russellville","Pope","6","333","Manufacturing",NA,NA,NA,339,NA,NA,NA,NA
"3:32","2021-01-25","Lennox Industries",NA,"Stuttgart","Arkansas","5","80","Manufacturing",NA,NA,NA,85,NA,NA,NA,NA
"3:33","2021-01-25","Lockheed Martin",NA,"Camden","Ouachita","7","62","Manufacturing",NA,NA,NA,69,NA,NA,NA,NA
"3:34","2021-01-25","Tyson","275 Hempstead 278","Hope","Hempstead","5","85","Manufacturing",NA,NA,NA,90,NA,NA,NA,NA
"3:35","2021-01-25","Tyson","Berry St.","Springdale","Washington","6","410","Manufacturing",NA,NA,NA,416,NA,NA,NA,NA
"3:36","2021-01-25","Tyson",NA,"Clarksville","Johnson","10","272","Manufacturing",NA,NA,NA,282,NA,NA,NA,NA
"3:37","2021-01-25","Tyson",NA,"Dardanelle","Yell","8","158","Manufacturing",NA,NA,NA,166,NA,NA,NA,NA
"3:38","2021-01-25","Tyson",NA,"Nashville","Howard","11","92","Manufacturing",NA,NA,NA,103,NA,NA,NA,NA
"3:39","2021-01-21","Aerojet Rocketdyne",NA,"Camden","Ouachita","5","46","Manufacturing",NA,NA,NA,51,NA,NA,NA,NA
"3:40","2021-01-21","Bell & Company",NA,"North Little Rock","Pulaski","5","5","Finance and Insurance",NA,NA,NA,10,NA,NA,NA,NA
"3:41","2021-01-21","ConAgra",NA,"Russellville","Pope","5","331","Manufacturing",NA,NA,NA,336,NA,NA,NA,NA
"3:42","2021-01-21","Tyson","Berry St.","Springdale","Washington","7","408","Manufacturing",NA,NA,NA,415,NA,NA,NA,NA
"3:43","2021-01-21","Tyson",NA,"Berryville","Carroll","7","112","Manufacturing",NA,NA,NA,119,NA,NA,NA,NA
"3:44","2021-01-21","Tyson",NA,"Clarksville","Johnson","5","269","Manufacturing",NA,NA,NA,274,NA,NA,NA,NA
"3:45","2021-01-21","Tyson",NA,"Dardanelle","Yell","6","154","Manufacturing",NA,NA,NA,160,NA,NA,NA,NA
"3:46","2021-01-18","Bell & Company",NA,"North Little Rock","Pulaski","7","2","Finance and Insurance",NA,NA,NA,9,NA,NA,NA,NA
"3:47","2021-01-18","ConAgra",NA,"Russellville","Pope","7","326","Manufacturing",NA,NA,NA,333,NA,NA,NA,NA
"3:48","2021-01-18","ConAgra/Pinnacle Foods",NA,"Fayetteville","Washington","5","54","Manufacturing",NA,NA,NA,59,NA,NA,NA,NA
"3:49","2021-01-18","Hytrol Conveyor Company",NA,"Siloam Springs","Benton","5","32","Manufacturing",NA,NA,NA,37,NA,NA,NA,NA
"3:50","2021-01-18","Gates Rubber Corportation",NA,"Jonesboro","Craighead","5","116","Manufacturing",NA,NA,NA,121,NA,NA,NA,NA
"3:51","2021-01-18","L'Oreal Manufacturing center",NA,"North Little Rock","Pulaski","5","11","Manufacturing",NA,NA,NA,16,NA,NA,NA,NA
"3:52","2021-01-18","Lockheed Martin",NA,"Camden","Ouachita","7","53","Manufacturing",NA,NA,NA,60,NA,NA,NA,NA
"3:53","2021-01-18","Twin Rivers Foods",NA,"Atkins","Pope","6","116","Manufacturing",NA,NA,NA,122,NA,NA,NA,NA
"3:54","2021-01-18","Tyson","275 Hempstead 278","Hope","Hempstead","7","78","Manufacturing",NA,NA,NA,85,NA,NA,NA,NA
"3:55","2021-01-18","Tyson","Berry St.","Springdale","Washington","7","406","Manufacturing",NA,NA,NA,413,NA,NA,NA,NA
"3:56","2021-01-18","Tyson",NA,"Berryville","Carroll","8","106","Manufacturing",NA,NA,NA,114,NA,NA,NA,NA
"3:57","2021-01-18","Tyson",NA,"Clarksville","Johnson","7","265","Manufacturing",NA,NA,NA,272,NA,NA,NA,NA
"3:58","2021-01-18","Tyson",NA,"Dardanelle","Yell","9","151","Manufacturing",NA,NA,NA,160,NA,NA,NA,NA
"3:59","2021-01-18","Tyson",NA,"Green Forest","Carroll","5","283","Manufacturing",NA,NA,NA,288,NA,NA,NA,NA
"3:60","2021-01-18","Tyson","Plant St.","Waldron","Scott","20","73","Manufacturing",NA,NA,NA,93,NA,NA,NA,NA
"3:61","2021-01-14","Tyson","Plant. St","Waldron","Scott","18","71","Manufacturing",NA,NA,NA,89,NA,NA,NA,NA
"3:62","2021-01-14","Twin Rivers Foods",NA,"Atkins","Pope","10","112","Manufacturing",NA,NA,NA,122,NA,NA,NA,NA
"3:63","2021-01-14","ConAgra",NA,"Russellville","Pope","8","323","Manufacturing",NA,NA,NA,331,NA,NA,NA,NA
"3:64","2021-01-14","Tyson",NA,"Van Buren","Crawford","7","274","Manufacturing",NA,NA,NA,281,NA,NA,NA,NA
"3:65","2021-01-14","Gates Rubber Corportation",NA,"Siloam Springs","Benton","7","31","Manufacturing",NA,NA,NA,38,NA,NA,NA,NA
"3:66","2021-01-14","Tyson",NA,"Dardanelle","Yell","6","149","Manufacturing",NA,NA,NA,155,NA,NA,NA,NA
"3:67","2021-01-14","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","6","115","Manufacturing",NA,NA,NA,121,NA,NA,NA,NA
"3:68","2021-01-14","Tyson","275 Hempstead 278","Hope","Hempstead","6","74","Manufacturing",NA,NA,NA,80,NA,NA,NA,NA
"3:69","2021-01-14","Tyson",NA,"Clarksville","Johnson","5","261","Manufacturing",NA,NA,NA,266,NA,NA,NA,NA
"3:70","2021-01-14","Tyson",NA,"Berryville","Carroll","5","104","Manufacturing",NA,NA,NA,109,NA,NA,NA,NA
"3:71","2021-01-14","Unilever",NA,"Jonesboro","Craighead","5","38","Manufacturing",NA,NA,NA,43,NA,NA,NA,NA
"3:72","2021-01-14","Hooters",NA,"North Little Rock","Pulaski","5","3","Accommodation and Food Services",NA,NA,NA,8,NA,NA,NA,NA
"3:73","2021-01-11","Tyson",NA,"Waldron","Scott","24","69","Manufacturing",NA,NA,NA,93,NA,NA,NA,NA
"3:74","2021-01-11","ConAgra",NA,"Russellville","Pope","12","303","Manufacturing",NA,NA,NA,315,NA,NA,NA,NA
"3:75","2021-01-11","Frito Lay",NA,"Jonesboro","Craighead","7","121","Manufacturing",NA,NA,NA,128,NA,NA,NA,NA
"3:76","2021-01-11","Gates Corportation",NA,"Siloam Springs","Benton","7","26","Manufacturing",NA,NA,NA,33,NA,NA,NA,NA
"3:77","2021-01-11","Twin Rivers Foods",NA,"Atkins","Pope","6","107","Manufacturing",NA,NA,NA,113,NA,NA,NA,NA
"3:78","2021-01-11","Tyson",NA,"Clarksville","Johnson","6","254","Manufacturing",NA,NA,NA,260,NA,NA,NA,NA
