"","date","company_name","city","county","number_active_cases","number_recovered_cases","total_number_of_cases","address","industry"
"1:1","2020-05-19","Belleville Boot Company","Forrest City","St. Francis",29,6,35,NA,NA
"1:2","2020-05-19","Tyson","Various Locations","---",14,32,46,NA,NA
"1:3","2020-05-19","Nebo Poultry","Dardanelle, Russellville","Yell, Pope",14,0,14,NA,NA
"1:4","2020-05-19","Best Manufacturing","Jonesboro","Craighead",9,0,9,NA,NA
"1:5","2020-05-19","Riceland Foods, Inc.","Jonesboro","Craighead",7,2,9,NA,NA
"1:6","2020-05-19","Pilgrim's Pride","De Queen","Sevier",6,1,7,NA,NA
"1:7","2020-05-19","Frito Lay","Jonesboro","Craighead",6,4,10,NA,NA
"1:8","2020-05-19","Saracen Casino Construction Site, multiple contracted businesses","Pine Bluff","Jefferson",5,51,56,NA,NA
"2:1","2020-05-22","Nebo Poultry","Dardanelle, Russellville","Yell, Pope",48,2,50,NA,NA
"2:2","2020-05-22","Pilgrim's Pride Poultry","De Queen","Sevier",18,2,20,NA,NA
"2:3","2020-05-22","Ozark Mountain Poultry","Rogers","Benton",16,1,17,NA,NA
"2:4","2020-05-22","Cargill Poultry","Springdale","Washington",9,1,10,NA,NA
"2:5","2020-05-22","Belleville Boot","Forrest City","St. Francis",9,26,35,NA,NA
"2:6","2020-05-22","Butterball","Hunstville","Madison",7,0,7,NA,NA
"2:7","2020-05-22","Best Manufacturing","Jonesboro","Craighead",7,5,12,NA,NA
"2:8","2020-05-22","George's Poultry","Springdale","Washington",5,2,7,NA,NA
"2:9","2020-05-22","Saracen Casino Construction","Pine Bluff","Jefferson",5,51,56,NA,NA
"3:1","2020-05-26","Nebo Poultry","Dardanelle","Yell",57,6,63,NA,NA
"3:2","2020-05-26","Ozark Mountain Poultry (OMP)/George’s","Rogers","Benton",46,2,48,NA,NA
"3:3","2020-05-26","Pilgrim's Pride Poultry","De Queen","Sevier",37,4,41,NA,NA
"3:4","2020-05-26","Cargill Poultry","Springdale","Washington",24,1,25,NA,NA
"3:5","2020-05-26","Butterball","Huntsville","Madison",7,1,8,NA,NA
"3:6","2020-05-26","Belleville Boot","Forrest City","St. Francis",6,29,35,NA,NA
"3:7","2020-05-26","Best Manufacturing","Jonesboro","Craighead",6,6,12,NA,NA
"4:1","2020-05-29","George's/Ozark Mtn. Poultry (OMP)"," Rogers"," Benton",86,6,92,NA,NA
"4:2","2020-05-29","Pilgrim's Pride"," De Queen"," Sevier",46,13,59,NA,NA
"4:3","2020-05-29","Cargill Poultry"," Springdale"," Washington",43,1,44,NA,NA
"4:4","2020-05-29","Nebo Poultry"," Dardanelle"," Yell",39,23,62,NA,NA
"4:5","2020-05-29","Tyson"," Dardanelle"," Yell",7,2,9,NA,NA
"4:6","2020-05-29","Butterball"," Huntsville"," Madison",5,5,10,NA,NA
"4:7","2020-05-29","Tyson"," Clarksville"," Johnson",5,9,14,NA,NA
"4:8","2020-05-29","Tyson"," Rogers"," Benton",5,1,6,NA,NA
"4:9","2020-06-02","George's/Ozark Mtn. Poultry (OMP)"," Rogers"," Benton",114,27,141,NA,NA
"4:10","2020-06-02","Pilgrim's Pride"," De Queen"," Sevier",53,34,87,NA,NA
"4:11","2020-06-02","Cargill Poultry"," Springdale"," Washington",48,17,65,NA,NA
"4:12","2020-06-02","Butterball"," Huntsville"," Madison",30,9,39,NA,NA
"4:13","2020-06-02","Nebo Poultry"," Dardanelle"," Yell",19,44,63,NA,NA
"4:14","2020-06-02","George's Poultry"," Springdale"," Washington",14,1,15,NA,NA
"4:15","2020-06-02","Tyson's Chick-N-Quick"," Rogers"," Benton",13,2,15,"Olrich St",NA
"4:16","2020-06-02","Tyson"," Dardanelle"," Yell",9,5,14,NA,NA
