"","mydate","county_nam","positive","PctPositivty","PctPositivty7dAvg","Tests_7_Day_Avg","Positive_7_Day_Avg","New_Cases_Today","New_Tests_Dashboard","New_Cases_7_Day_Avg"
"1",2021-04-04,"Arkansas_all_counties",331054,0.026,0.025,6333.143,330568.29,84,3286,160.71
"2",2021-04-03,"Arkansas_all_counties",330970,0.04,0.025,6239.571,330407.57,217,5368,158.57
"3",2021-04-02,"Arkansas_all_counties",330753,0.028,0.025,6150.429,330249,144,5184,151.14
"4",2021-04-01,"Arkansas_all_counties",330609,0.024,0.025,6211.286,330097.86,211,8803,156.86
"5",2021-03-31,"Arkansas_all_counties",330398,0.026,0.029,6083.429,329941,212,8060,174.43
"6",2021-03-30,"Arkansas_all_counties",330186,0.017,0.028,6345.714,329766.57,178,10297,177.14
"7",2021-03-29,"Arkansas_all_counties",330008,0.024,0.029,6506,329589.43,79,3334,185.86
"8",2021-03-28,"Arkansas_all_counties",329929,0.026,0.029,6374,329403.57,69,2631,182
"9",2021-03-27,"Arkansas_all_counties",329860,0.035,0.029,6512.143,329221.57,165,4744,187.57
"10",2021-03-26,"Arkansas_all_counties",329695,0.033,0.03,6846.714,329034,184,5610,203.14
"11",2021-03-25,"Arkansas_all_counties",329511,0.042,0.03,7035.857,328830.86,334,7908,209.43
"12",2021-03-24,"Arkansas_all_counties",329177,0.023,0.027,7362.429,328621.43,231,9896,199.43
"13",2021-03-23,"Arkansas_all_counties",328946,0.021,0.029,7384,328422,239,11419,212.86
"14",2021-03-22,"Arkansas_all_counties",328707,0.022,0.034,6828,328209.14,52,2410,235.29
"15",2021-03-21,"Arkansas_all_counties",328655,0.03,0.035,6932.857,327973.86,108,3598,244.57
"16",2021-03-20,"Arkansas_all_counties",328547,0.039,0.036,6897.571,327729.29,274,7086,247.71
"17",2021-03-19,"Arkansas_all_counties",328273,0.033,0.037,6777.571,327481.57,228,6934,253.43
"18",2021-03-18,"Arkansas_all_counties",328045,0.026,0.039,7263.571,327228.14,264,10194,286.43
"19",2021-03-17,"Arkansas_all_counties",327781,0.032,0.041,7194,326941.71,325,10047,297.29
"20",2021-03-16,"Arkansas_all_counties",327456,0.053,0.041,7154,326644.43,396,7527,296.14
"21",2021-03-15,"Arkansas_all_counties",327060,0.037,0.042,7198,326348.29,117,3144,301.29
"22",2021-03-14,"Arkansas_all_counties",326943,0.039,0.042,7238.714,326047,130,3351,303.57
"23",2021-03-13,"Arkansas_all_counties",326813,0.05,0.041,7436.143,325743.43,314,6246,308.57
"24",2021-03-12,"Arkansas_all_counties",326499,0.044,0.042,7368.571,325434.86,459,10336,310.43
"25",2021-03-11,"Arkansas_all_counties",326040,0.035,0.042,7838.571,325124.43,340,9707,326.29
"26",2021-03-10,"Arkansas_all_counties",325700,0.032,0.039,8501.143,324798.14,317,9767,335.29
"27",2021-03-09,"Arkansas_all_counties",325383,0.055,0.041,8495.429,324462.86,432,7835,347.71
"28",2021-03-08,"Arkansas_all_counties",324951,0.039,0.042,8333.429,324115.14,133,3429,348.86
"29",2021-03-07,"Arkansas_all_counties",324818,0.035,0.041,8396,323766.29,165,4733,343.29
"30",2021-03-06,"Arkansas_all_counties",324653,0.057,0.044,17711.143,323423,327,5773,779.71
"31",2021-03-05,"Arkansas_all_counties",324326,0.042,0.045,18232.571,322643.29,570,13626,812.57
"32",2021-03-04,"Arkansas_all_counties",323756,0.028,0.046,17565.571,321830.71,403,14345,804.86
"33",2021-03-03,"Arkansas_all_counties",323353,0.042,0.05,17176,321025.86,404,9727,851
"34",2021-03-02,"Arkansas_all_counties",322949,0.066,0.052,17437.429,320174.86,440,6701,908
"35",2021-03-01,"Arkansas_all_counties",322509,0.024,0.053,18160.286,319266.86,94,3867,964.29
"36",2021-02-28,"Arkansas_all_counties",322415,0.046,0.054,18148.286,318302.57,3220,69939,985.86
"37",2021-02-27,"Arkansas_all_counties",319195,0.059,0.065,8657.714,317316.71,557,9423,566.43
"38",2021-02-26,"Arkansas_all_counties",318638,0.058,0.069,8134,316750.29,516,8957,560.71
"39",2021-02-25,"Arkansas_all_counties",318122,0.062,0.069,7564.143,316189.57,726,11618,525.29
"40",2021-02-24,"Arkansas_all_counties",317396,0.069,0.071,6442.286,315664.29,803,11557,457.71
"41",2021-02-23,"Arkansas_all_counties",316593,0.071,0.072,6100.571,315206.57,834,11761,438.29
"42",2021-02-22,"Arkansas_all_counties",315759,0.065,0.067,5177.286,314768.29,245,3783,344.43
"43",2021-02-21,"Arkansas_all_counties",315514,0.081,0.068,5210.429,314423.86,284,3505,355.14
"44",2021-02-20,"Arkansas_all_counties",315230,0.09,0.067,5722.143,314068.71,517,5757,381.14
"45",2021-02-19,"Arkansas_all_counties",314713,0.054,0.068,6521.571,313687.57,268,4968,443.57
"46",2021-02-18,"Arkansas_all_counties",314445,0.067,0.068,7116.286,313244,253,3765,486
"47",2021-02-17,"Arkansas_all_counties",314192,0.073,0.071,8531.857,312758,667,9165,607.43
"48",2021-02-16,"Arkansas_all_counties",313525,0.033,0.073,9173.857,312150.57,177,5298,668.14
"49",2021-02-15,"Arkansas_all_counties",313348,0.08,0.084,10167.143,311482.43,320,4015,853.57
"50",2021-02-14,"Arkansas_all_counties",313028,0.066,0.084,10694.714,310628.86,466,7087,898.86
"51",2021-02-13,"Arkansas_all_counties",312562,0.084,0.084,11069.429,309730,954,11353,928.29
"52",2021-02-12,"Arkansas_all_counties",311608,0.062,0.084,11642.857,308801.71,565,9131,983.57
"53",2021-02-11,"Arkansas_all_counties",311043,0.081,0.092,12637.714,307818.14,1103,13674,1163.43
"54",2021-02-10,"Arkansas_all_counties",309940,0.08,0.1,13536.286,306654.71,1092,13659,1358.57
"55",2021-02-09,"Arkansas_all_counties",308848,0.12,0.09,17197.143,305296.14,1475,12251,1549.14
"56",2021-02-08,"Arkansas_all_counties",307373,0.083,0.088,17682.143,303747,637,7708,1554.14
"57",2021-02-07,"Arkansas_all_counties",306736,0.069,0.092,17820.857,302192.86,672,9710,1638.29
"58",2021-02-06,"Arkansas_all_counties",306064,0.087,0.092,18176,300554.57,1341,15367,1668.14
"59",2021-02-05,"Arkansas_all_counties",304723,0.113,0.095,18242.286,298886.43,1824,16095,1737.14
"60",2021-02-04,"Arkansas_all_counties",302899,0.124,0.094,18344.714,297149.29,2469,19964,1720.43
"61",2021-02-03,"Arkansas_all_counties",300430,0.062,0.091,18044.286,295428.86,2426,39285,1638
"62",2021-02-02,"Arkansas_all_counties",298004,0.097,0.105,14662.286,293790.86,1510,15646,1545.29
"63",2021-02-01,"Arkansas_all_counties",296494,0.141,0.112,15097,292245.57,1226,8679,1684.57
"64",2021-01-31,"Arkansas_all_counties",295268,0.072,0.104,15326.143,290561,881,12196,1600.29
"65",2021-01-30,"Arkansas_all_counties",294387,0.115,0.109,14892.143,288960.71,1824,15831,1627.43
"66",2021-01-29,"Arkansas_all_counties",292563,0.102,0.11,14573.714,287333.29,1707,16812,1597.29
"67",2021-01-28,"Arkansas_all_counties",290856,0.106,0.115,14461.143,285736,1892,17861,1662.29
"68",2021-01-27,"Arkansas_all_counties",288964,0.114,0.127,14470.857,284073.71,1777,15611,1835.71
"69",2021-01-26,"Arkansas_all_counties",287187,0.133,0.13,14982.571,282238,2485,18689,1941.86
"70",2021-01-25,"Arkansas_all_counties",284702,0.062,0.128,13868.571,280296.14,636,10283,1777
"71",2021-01-24,"Arkansas_all_counties",284066,0.117,0.129,14251.571,278519.14,1071,9158,1844.57
