Uniqueid,V2,date,company_name,city,county,number_active_cases,number_recovered_cases,total_number_of_cases,address,industry,cleaned_address,cleaned_city,cleaned_county,cleaned_company,year,month,yearmon
1,13,5/22/20,Belleville Boot,Forrest City,St. Francis,9,26,35,NA,NA,NA,forrest city,st. francis,belleville_boot,2020,May,2020-05
1,23,5/26/20,Belleville Boot,Forrest City,St. Francis,6,29,35,NA,NA,NA,forrest city,st. francis,belleville_boot,2020,May,2020-05
1,1,5/19/20,Belleville Boot Company,Forrest City,St. Francis,29,6,35,NA,NA,NA,forrest city,st. francis,belleville_boot,2020,May,2020-05
2,18,5/26/20,Nebo Poultry,Dardanelle,Yell,57,6,63,NA,NA,NA,dardanelle,yell,nebo poultry,2020,May,2020-05
2,28,5/29/20,Nebo Poultry,Dardanelle,Yell,39,23,62,NA,NA,NA,dardanelle,yell,nebo poultry,2020,May,2020-05
2,37,6/2/20,Nebo Poultry,Dardanelle,Yell,19,44,63,NA,NA,NA,dardanelle,yell,nebo poultry,2020,Jun,2020-06
2,53,6/5/20,Nebo Poultry,Dardanelle,Yell,13,50,63,NA,NA,NA,dardanelle,yell,nebo poultry,2020,Jun,2020-06
2,76,6/8/20,Nebo Poultry,Dardanelle,Yell,8,55,63,NA,NA,NA,dardanelle,yell,nebo poultry,2020,Jun,2020-06
2,183,7/3/20,Nebo Poultry,Dardanelle,Yell,11,55,66,NA,NA,NA,dardanelle,yell,nebo poultry,2020,Jul,2020-07
3,4,5/19/20,Best Manufacturing,Jonesboro,Craighead,9,0,9,NA,NA,NA,jonesboro,craighead,best manufacturing,2020,May,2020-05
3,15,5/22/20,Best Manufacturing,Jonesboro,Craighead,7,5,12,NA,NA,NA,jonesboro,craighead,best manufacturing,2020,May,2020-05
3,24,5/26/20,Best Manufacturing,Jonesboro,Craighead,6,6,12,NA,NA,NA,jonesboro,craighead,best manufacturing,2020,May,2020-05
4,5,5/19/20,"Riceland Foods, Inc.",Jonesboro,Craighead,7,2,9,NA,NA,NA,jonesboro,craighead,riceland_foods,2020,May,2020-05
5,490,10/15/20,Riceland Foods,Stuttgart,Arkansas,5,26,31,NA,Manufacturing,NA,stuttgart,arkansas,riceland_foods,2020,Oct,2020-10
5,496,10/22/20,Riceland Foods,Stuggart,Arkansas,7,29,36,NA,Manufacturing,NA,stuttgart,arkansas,riceland_foods,2020,Oct,2020-10
5,503,10/26/20,Riceland Foods,Stuttgart,Arkansas,6,30,36,NA,Manufacturing,NA,stuttgart,arkansas,riceland_foods,2020,Oct,2020-10
5,516,10/29/20,Riceland Foods,Stuttgart,Arkansas,5,34,39,NA,Manufacturing,NA,stuttgart,arkansas,riceland_foods,2020,Oct,2020-10
